word,mean,Junior,Senior,CET4,CET6,GEE,GRE,SAT,TOEFL,check
broach,v.开瓶；提出(讨论),,,,,,☆,,,
broad,adj. 宽的，辽阔的；显著的；大概的 n. 宽阔部分 adv. 宽阔地,,☆,☆,,,,,☆,
broadcast,v. 播送，播放；（无线电或电视）广播；播撒（种子） n. 广播；播音；广播节目 adj. 广播的,,☆,☆,,☆,,,☆,
broadcaster,"n. 播送设备, 广播员",,,,,,,,☆,
broaden,"v. 放宽, 变宽, 扩大, 加宽",,,,☆,,,,☆,
broadleaf,"n. 阔叶烟草,阔叶树",,,,,,,,☆,
broadly,"adv. 宽广地, 广泛",,,,,,,,☆,
broadside,n. (船)舷侧,,,,,,,,☆,
broadway,n& a. 百老汇大街(的),,,,,,,,☆,
brocade,n. 织锦,,,,,,☆,,,
brochure,n.  小册子， 说明书,,☆,,☆,☆,☆,,☆,
broil,v. 烧烤,,,,,,☆,,,
broken,adj. 破碎的；坏掉的 v. 折断；打碎；损坏（break的过去分词）,,☆,☆,,,,,,
broker,"n. 掮客, 经纪人",,,,,,☆,,☆,
brokerage,n.  经纪人之业务； 回扣,,,,,,,☆,,
bromide,n.平庸的人或话；溴化物,,,,,,☆,,,
bromine,n. [化]溴,,,,,,,,☆,
bronchitis,n.  【医】 支气管炎,,,,,,,☆,,
bronchus,n.  【解】 支气管,,,,,,,☆,,
bronze,n. 青铜；古铜色；青铜制品 adj. 青铜色的；青铜制的 v. 镀青铜于,,,☆,☆,☆,,,☆,
brooch,n. （女用的）胸针，领针,,,,,,☆,☆,,
brood,vi. 沉思，考虑；孵蛋 n. 一窝； 全体孩子,,,☆,☆,,☆,,☆,
brook,v. 忍受；容忍 n. 小溪；小河,,,☆,,☆,☆,,☆,
broom,n. 扫帚；金雀花 v. 扫除,,☆,☆,,☆,,,,
brother,n. 兄弟；同事；战友 int. 我的老兄！,☆,☆,☆,,☆,,,☆,
brotherhood,n. 兄弟关系；手足情谊；四海之内皆兄弟的信念,,☆,,,,,☆,,
brow,n. 眉，眉毛；额；表情,,,☆,,☆,,,,
browbeat,v. 恫吓，吓唬；欺侮,,,,,,☆,☆,,
brown,adj. 棕色的，褐色的；太阳晒黑的 v. 变成褐色 n. 褐色，棕色,☆,☆,☆,,☆,,,☆,
browse,vi. 吃嫩叶或草 A；浏览 n. 嫩叶， 嫩芽；吃草， 放牧；浏览 A,,,,,☆,☆,,☆,
bruise,n. 青肿，挫伤；伤痕，擦痕 vt. 打青， 使受淤伤； 挫伤， 伤害,,,☆,☆,☆,☆,,☆,
bruit,v.散布(谣言),,,,,,☆,,,
brunch,n.  早午饭,,☆,,,,,,,
brunt,n.主要冲击力或影响，矛头,,,,,,☆,,,
brush,n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴 v. 刷；画；,☆,☆,☆,,,,,☆,
brusque,adj. 唐突的；直率的；无礼的 n. (Brusque)人名；(法)布吕斯克,,,,,,☆,☆,,
brusquely,"adv. 唐突地, 粗率地",,,,,,,,☆,
brutal,adj. 野兽般的， 残忍的； 无情的， 冷酷的， 难以忍受的,,,,☆,☆,☆,,☆,
brute,n&a.野兽(的)；残忍的(人),,,☆,,,☆,,,
bryn,n. 布琳,,,,,,,,☆,
bubble,vi. 冒泡， 起泡； 沸腾 n. 泡， 水泡， 气泡；泡沫； 幻想的计划 <,,,☆,☆,☆,☆,,☆,
bubbly,adj. 多泡的,,,,,,,,☆,
buck,v. 猛然弓背跃起；猛然震荡；抵制，反抗 n.  美元； 雄鹿,,,,☆,,☆,,☆,
bucket,n. 桶，水桶；铲斗；一桶的量 v. 倾盆而下；颠簸着行进,,☆,☆,,☆,☆,,,
buckle,v.  扣紧； 变形， 弯曲 n. 皮带扣环,,,,,,☆,,☆,
buckskin,"n. 鹿皮裤, 鹿皮",,,,,,,,☆,
bucolic,adj. 牧歌的；牧羊的；乡下风味的 n. 田园诗；农夫,,,,,,☆,☆,,
bud,vi.  发芽， 萌芽 n. 芽；蓓蕾,,,☆,☆,☆,☆,,☆,
buddy,n.  密友； 搭档， 伙伴,,,,,,,,☆,
budge,v.移动一点儿；让步，改变立场,,,,,,☆,,,
budget,v. 规划，安排；编预算 adj. 低廉的， 收费公道的 n. 预算，预算拨款,,☆,☆,☆,☆,☆,,☆,
buffalo,n.  水牛； 野牛,,,,☆,,,,☆,
buffer,n. [计] 缓冲区；缓冲器，[车辆] 减震器 v. 缓冲,,,,,,☆,☆,☆,
buffet,n. 自助餐；小卖部；打击；猛烈冲击 v. 与…搏斗；连续猛击 adj. 自助的；自助餐的,,☆,,,☆,☆,,,
buffoon,n.演出时的丑角；粗俗而愚蠢的人,,,,,,☆,☆,,
buffoonery,n.  打诨； 滑稽,,,,,,,☆,,
bug,n. 虫子；小病；故障，缺陷；窃听器 vt. 烦扰， 纠缠； 在…装窃听器,,,,☆,☆,,☆,,
bugaboo,n. 吓人的东西；妖怪,,,,,,☆,,,
buggy,adj. 多虫的 n童车,,,,,,☆,,☆,
bugle,"n. 喇叭,军号 v. 吹号集合",,,,☆,,,,☆,
build,v. 建筑，建造，盖；造 n. 体格；体形，身材,☆,☆,☆,,,,,,
building,n. 建筑；建筑物 v. 建筑；建立；增加（build的ing形式）,☆,☆,☆,,☆,,,,
buildup,"n. 集结, 增长",,,,,,,,☆,
bulb,n. 电灯泡；鳞茎；球状物 vi. 生球茎；膨胀成球状,☆,,☆,,☆,☆,,☆,
bulbous,adj. 球根的；球根状的；由球根生长的（等于bulbaceous）,,,,,,,☆,,
bulge,n&v. 膨胀，鼓起,,,,,,☆,,☆,
bulk,n. 体积，容量；大多数，大部分；大块 v. 使扩大，使形成大量；使显得重要,,,☆,☆,☆,☆,☆,☆,
bull,n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺 adj. 大型的；公牛似的；雄性的 v. 企图抬高证券价格；吓唬；强力实现,,,☆,☆,☆,,,☆,
bulldoze,v. 用推土机推平；威胁，恐吓,,,,,,☆,,☆,
bulldozer,n. 推土机,,,,,,,,☆,
bullet,n. 子弹；只选某党全部候选人的投票；豆子 vi. 射出；迅速行进,,,☆,,☆,,,,
bulletin,n. 简明新闻， 最新消息； 公告， 布告， 公报； 学报， 期刊,,,,☆,☆,,,☆,
bullion,n. 金条，银条,,,,,,☆,,,
bullish,a. 股票行情看涨的；乐观的，自信的,,,,,,☆,,,
bullock,n.  阉牛； 一岁半以下的小公牛,,,,,,,☆,,
bullrush,n. 芦苇,,,,,,,,☆,
bully,n. 欺凌弱小者；土霸 adj. 第一流的；特好的 v. 欺负；威吓 adv. 很；十分 int. 好；妙,,,,☆,☆,☆,,,
bullyrag,v. 恐吓，威胁,,,,,,☆,,,
bulwark,n. 壁垒；保障；防波堤 v. 保护；筑垒保卫,,,,,,,☆,,
bumble,v. 说话含糊；拙劣地做,,,,,,☆,,,
bump,n. 肿块，隆起物；撞击 v. 碰撞，撞击；颠簸而行 adv. 突然地，猛烈地,,,☆,☆,☆,☆,,☆,
bumper,adj. 丰盛的，丰富的 n. 缓冲器，保险杆，减震物 vt. 装满；为…祝酒 vi. 干杯,,,,,,,☆,,
bumpkinly,a. 乡巴佬的,,,,,,☆,,,
bumptious,adj.  盲目自大的， 傲慢的,,,,,,☆,☆,,
bun,n.  馒头； 小甜面包,,☆,,,,,,,
bunch,vi. 集中， 挤在一起； 形成一束 n. 群，伙；束，串，捆 vt. 使成一束,,☆,☆,,☆,,,☆,
bundle,n. 捆，包，束；包袱 vt. 收集， 归拢； 把…塞入,,,☆,,☆,,,☆,
bungalow,n. 平房；小屋,,☆,,,,,,,
bungle,v. 笨手笨脚地做；把…搞糟 n. 粗劣；失败；笨拙,,,,,,☆,☆,,
buoy,n.浮标；救生圈；v.鼓励,,,,,,☆,,,
buoyancy,n. 浮力；轻快；轻松的心情；（股票）保持高价或回升,,,,,,,☆,,
buoyant,adj.  有浮力的， 漂浮的； 轻快的， 快乐的； 繁荣的； 看涨的,,,,,,☆,☆,☆,
bur,n. 刺果,,,,,,,,☆,
burden,n. 重担，精神负担 vt. 加重压于， 烦扰； 负担， 装载,,☆,☆,☆,☆,,,☆,
burdensome,"adj. 繁重的,难以承担的",,,,,,,,☆,
bureau,n.  局， 署； 办公室； 机构,,,☆,,☆,,☆,☆,
bureaucracy,n. 官僚主义， 官僚作风； 官僚机构； 官僚制度； 官僚,,,,☆,☆,☆,☆,☆,
bureaucratic,adj. 官僚的；官僚政治的,,☆,,,,,,,
bureaucratization,n. 官化,,,,,,,,☆,
burgeon,"n. 芽, 嫩枝 v. 萌芽, 发芽",,,,,,☆,☆,☆,
burgess,n. (英国)市民，镇民,,,,,,,,☆,
burgher,n. 市民（现主要指某些欧洲国家中产阶级的市民或镇民）；公民,,,,,,,☆,☆,
burglar,n. 窃贼， 破门盗窃者,,☆,,☆,☆,,,,
burial,n. 埋葬；葬礼；弃绝 adj. 埋葬的,,☆,,☆,,☆,,☆,
burin,"n. 冰凿,雕刻刀",,,,,,,,☆,
burlesque,n.讽刺或滑稽的戏剧,,,,,,☆,,,
burn,v.  [burnt/burned-burnt/burned] 燃烧， 点燃；,☆,☆,☆,,☆,,,☆,
burner,n. 煤气头,,,,☆,,,,,
burning,adj. 燃烧的；强烈的；发热的 n. 燃烧 vi. 燃烧（burn的现在分词）,,,,,,,☆,,
burnish,v. 擦亮；使…光亮；将…打磨光亮 n. 光泽；抛光；闪闪发光,,,,,,☆,☆,,
burrow,v. 挖掘，钻进，翻寻n. 地洞,,,,,,☆,,☆,
bursar,n. 财务主管；会计员；领取奖学金的学生,,,,,,,☆,,
burst,vi. 爆裂，爆炸；挤满；突然打开；突然发作 vt. 使爆炸；突然打开 n. 爆炸,,☆,☆,,☆,,,☆,
bury,v. 埋葬；隐藏 n. (Bury)人名；(法)比里；(英、西)伯里；(德、意、罗、波、捷、匈)布里；(俄)布雷,,☆,☆,,☆,,,☆,
bus,n.  公共汽车,☆,☆,☆,,,,,☆,
bush,n. 灌木；矮树丛 v. 以灌木装饰；使…精疲力竭 adj. 如灌木般长得低矮的；粗野的,☆,☆,☆,,☆,,,☆,
bushel,n. 蒲式耳（容量单位）,,,,☆,,,,,
bushman,n. 丛林居民,,,,,,,,☆,
business,n.  交易， 生意； 营业； 商业； 工作， 任务； 事务,☆,☆,☆,,,,,☆,
businessman,n. 商人,,☆,,,,,,,
businesswoman,n. 妇女实业家,,☆,,,,,,☆,
bust,vi. 爆裂，坏掉 vt. 打破，打碎 n. 胸像， 半身像； 胸部， 胸围,,,,☆,,☆,,☆,
bustle,v. 喧闹；忙乱；充满 n. 喧闹；活跃；裙撑；热闹的活动,,,,,,☆,☆,☆,
busy,adj. 忙碌的；热闹的；正被占用的 v. 使忙于 n. (Busy)人名；(匈)布希；(法)比西,☆,☆,☆,,☆,,,☆,
but,conj. 但是；而是；然而 adv. 仅仅，只 prep. 除…以外 n. (But)人名；(俄、罗)布特；(越)笔,☆,☆,☆,,,,,,
butane,n. [有化] 丁烷,,,,,,,☆,,
butcher,n. 肉商，肉贩，屠夫 vt. 屠宰， 残杀,,☆,☆,,☆,,,,
butler,"n. 仆役长, 男管家",,,,,,,,☆,
butt,n. 屁股；烟头；笑柄；靶垛；粗大的一端 v. 以头抵撞；碰撞,,,,☆,,☆,☆,,
butte,n.   孤山， 孤峰,,,,,,,☆,☆,
butter,v. 涂黄油于；讨好 n. 黄油；奶油；奉承话,☆,☆,☆,,☆,,,☆,
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人,☆,☆,☆,,☆,,,☆,
button,n. 按钮；纽扣 v. 扣住；扣紧；在…上装纽扣,,☆,☆,,☆,,,☆,
buttress,n. 扶壁；拱壁；支撑物 v. 支持；以扶壁支撑,,,,,,☆,☆,,
buxom,a. 体态丰满的,,,,,,☆,,,
buy,v.  [bought-bought] 买， 买得； 向…行贿， 收买,☆,☆,☆,,,,,☆,
buyer,"n. 买主, 顾客",,,,,,,,☆,
buzz,vi. 发出嗡嗡声；忙乱，急行；发出嘈杂的谈话声 n. 嗡嗡声； 嘈杂的谈话声,,,,☆,☆,,,☆,
by,prep. 通过；被；依据；经由；在附近；在……之前 adv. 通过；经过；附近；[互联网] 白俄罗斯的国家代码顶级域名,☆,☆,☆,,,,,,
by-pass,n. 旁路， 迂回的旁道； 搭桥术； 旁通管,,,,,☆,,,,
by-product,n.  副产品； 副作用， 意外结果,,,,,,,,☆,
bye,int. 再见 n. 轮空；次要的东西 adj. 次要的,☆,☆,,,,,,,
bygone,adj. 过去的 n. 过去的事,,,,,,,☆,,
bylaw,"n. 附则, 法规",,,,,,,,☆,
byline,n.(列作者名字的)报刊文章首行,,,,,,☆,,,
bypass,n. 旁道，迂回道 vt. 绕过， 绕…走； 越过， 置…于不顾,,,,☆,☆,,,☆,
byproduct,n.副产品；副作用,,,,,,☆,,,
bystander,n.旁观者,,,,,,☆,,,
cab,n. 驾驶室；出租汽车；出租马车 v. 乘出租马车（或汽车）,,☆,,,☆,,,☆,
cabal,n. 阴谋（尤指政治上的）；阴谋集团 v. 策划阴谋,,,,,,☆,☆,,
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）,☆,☆,☆,,☆,,,☆,
cabin,n.  小屋； 机舱， 船舱,,,☆,☆,☆,,,☆,
cabinet,n. 内阁；橱柜；展览艺术品的小陈列室 adj. 内阁的；私下的，秘密的,,,☆,☆,☆,☆,☆,☆,
cabinetmaker,"n. 家具师,细工木匠",,,,,,,,☆,
cable,v.  给…发电报， 用电报传送 n. 缆绳，钢索；电缆；电报,,,☆,☆,☆,,,☆,
cache,n. 电脑高速缓冲存储器；贮存物；隐藏处 v. 隐藏；窖藏,,,,,,☆,☆,☆,
cachet,n. 赞同的标志，优越的标志,,,,,,☆,,,
cacophonous,adj. 粗腔横调的；发音不和谐的,,,,,,☆,☆,,
cacophony,n.  刺耳的音调； 不谐和音； 杂音,,,,,,☆,☆,,
cactus,n. [植]仙人掌,,,,,,☆,,☆,
cadaver,n. [医] 尸体；死尸,,,,,,☆,☆,,
cadaverous,adj.  像尸体的； 苍白的,,,,,,,☆,,
cadence,n.   抑扬顿挫； 节奏， 韵律， 调子,,,,,,☆,☆,,
cadent,adj.  有节奏的； 降落的,,,,,,,☆,,
cadenza,n.  【乐】  装饰奏,,,,,,,☆,,
cadet,n.军校或警官学校的学生,,,,,,☆,,,
cadge,v.乞讨；诈取，骗取,,,,,,☆,,,
cadmium,n. [化]镉,,,,,,,,☆,
cafe,n. 咖啡馆；小餐厅,,,☆,,,,,,
cafeteria,n.  自助餐厅， 自助食堂,,☆,☆,☆,☆,,,☆,
cage,n. 笼，兽笼；牢房，监狱 v. 把…关进笼子；把…囚禁起来,☆,☆,☆,,☆,,,☆,
caitiff,adj. 卑劣的；胆小的 n. 卑鄙的人；胆小鬼,,,,,,,☆,,
cajole,v.  以甜言蜜语哄骗； 勾引,,,,,,☆,☆,,
cajolery,n.  甜言蜜语； 诱骗； 谄媚,,,,,,,☆,,
cajun,n. 移居美国路易斯安纳州的法人后裔,,,,,,,,☆,
cake,n. 蛋糕；块状物；利益总额 v. 使结块,☆,☆,☆,,☆,,,,
calamitous,adj.  灾难性的,,,,,,,,☆,
calamity,n.  大灾祸， 灾难， 不幸,,,,,,☆,☆,,
calcareous,"adj. 钙质的,石灰质的",,,,,,,,☆,
calcite,n. 方解石,,,,,,,,☆,
calcium,n. 钙(化学符号Ca),,,,☆,☆,☆,,☆,
calculable,adj.  可计算的； 能预测的； 可信的,,,,,,,☆,☆,
calculate,v.  计算， 核算； 估计， 推测； 计划， 打算,,☆,☆,☆,☆,,,☆,
calculated,a.蓄意的,,,,,,☆,,,
calculating,a.深谋远虑的，精明的,,,,,,☆,,,
calculation,n. 计算，计算结果,,,☆,☆,,,,☆,
calculator,n. 计算器， 计算者,☆,,☆,,,,,,
calculus,n. [病理] 结石；微积分学,,,,☆,,☆,☆,☆,
caldron,n.(煮汤用的)大锅,,,,,,☆,,,
caledonian,n&a. 苏格兰人(的),,,,,,,,☆,
calendar,n. 日历；[天] 历法；日程表 v. 将…列入表中；将…排入日程表,☆,,☆,,☆,,,☆,
caliber,"n. 口径, 才干",,,,,,,,☆,
calibrate,v.量?口径；精确校准,,,,,,☆,,,
calibration,n. 校准；标定，刻度,,,,☆,,,,☆,
calibre,n. (枪等)口径；(人或事)品德，才能,,,,,,☆,,,
calipers,n.测径器，双脚规,,,,,,☆,,,
call,v.  把…叫做， 把…称为； 打电话给； 叫， 大声说出； 召唤， 传唤； 召开，,☆,☆,☆,,☆,,,,
calligraphy,n.书法,,,,,,☆,,,
callosity,n. 无情；老茧皮；硬结,,,,,,,☆,,
callous,adj. 无情的；麻木的；硬结的；起老茧的 v. 使冷酷无情；使硬结；使生茧 n. 硬皮；老茧,,,,,,☆,☆,,
callow,adj. 年轻而无经验的；羽毛未丰的 n. (Callow)人名；(英)卡洛,,,,,,☆,☆,,
callus,n. 老茧，胼胝,,,,,,☆,,,
calm,adj. 平静的；镇静的，沉着的 vt.  使平静， 使镇定， 平息,☆,☆,☆,,☆,,,☆,
calorie,n.卡路里；卡(热量单位),,,,☆,☆,☆,☆,☆,
calotype,n. 光力照像法,,,,,,,,☆,
calumniate,v. 诽谤；中伤；诬蔑,,,,,,☆,☆,,
calumny,n. 诽谤；中伤；诬蔑,,,,,,☆,☆,,
calve,"v. 生小牛, (使)冰山崩解",,,,,,,,☆,
camaraderie,n.  同志之爱； 友情,,,,,,,☆,,
camel,n. [畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚 adj. 驼色的；暗棕色的 vi. 工作刻板平庸,☆,☆,☆,,☆,,,☆,
cameo,n. （影视剧中的）配角；刻有浮雕的宝石或贝壳；小品文,,,,,,☆,☆,,
camera,n.  照相机； 摄影机， 摄像机,☆,☆,☆,,☆,,,☆,
camouflage,n. 伪装，掩饰 v. 伪装，掩饰,,,,,,☆,☆,☆,
camp,v.  露营， 扎营 n. 营地，露营,☆,☆,☆,,☆,,,☆,
campaign,vi.  参加活动， 从事活动； 作战 n. 战役；活动，竞选运动,,☆,☆,☆,☆,☆,☆,☆,
campus,n. （大学）校园；大学，大学生活；校园内的草地,,,☆,,☆,,,☆,
can,v. 将…装入密封罐中保存 aux. 能； 能够； 可以； 可能 n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头,☆,☆,☆,☆,,,,,
canal,n. 运河；[地理] 水道；[建] 管道；灌溉水渠 v. 在…开凿运河,,☆,☆,,☆,,,☆,
canard,n. 谣言，假新闻,,,,,,☆,,,
canary,n. [鸟] 金丝雀；淡黄色,,,,,,☆,☆,,
cancel,vi. 相互抵消 vt. 取消；删去， 划掉； 把…作废,☆,☆,☆,☆,☆,,,☆,
cancellation,n.  约掉； 消掉,,,,,,,☆,,
cancer,n. 癌， 癌症， 肿瘤,☆,☆,☆,☆,☆,,☆,,
candid,adj. 公正的；坦白的；率直的；偷拍的 n. (Candid)人名；(罗)坎迪德,,,,,,☆,☆,☆,
candidacy,n.候选人的资格,,,,,,☆,,,
candidate,n. 候选人， 投考者， 申请求职者,,☆,☆,☆,☆,☆,☆,☆,
candle,n. 蜡烛；烛光；烛形物 v. 对着光检查,☆,☆,☆,,☆,,,☆,
candlelight,"n. 烛火,黄昏",,,,,,,,☆,
candor,n.  坦白， 直率,,,,,,☆,☆,,
candy,v. 用糖煮；使结晶为砂糖；美化 n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品 adj. 新潮的（服饰）；甜言蜜语的,☆,☆,☆,,☆,,,,
cane,"n. 藤条,手杖 v. 以杖击, 以藤编制",,,,☆,,☆,,☆,
canine,adj. 犬的；犬齿的；犬科的；似犬的 n. 犬；[解剖] 犬齿,,,,,,☆,☆,,
canker,n. 溃疡病；祸害,,,,,,☆,,,
cannibalism,n.  嗜食同类,,,,,,,,☆,
cannon,n. 大炮；加农炮；榴弹炮；机关炮 v. 炮轰；开炮,,,☆,☆,☆,,,☆,
cannonball,n. 炮弹,,,,,,,,☆,
cannot,conj. 不能,,,,,,,,☆,
canny,adj. 精明的，谨慎的；节约的 n. (Canny)人名；(英)坎尼,,,,,,☆,☆,,
canoe,vi. 乘独木舟，划独木舟 n.  独木舟,,,☆,,☆,,,☆,
canoes,n. 独木舟,,,,,,,,☆,
canon,n.   教规；  正典， 经典圣经；  真作集,,,,,,☆,☆,,
canonical,adj. 依教规的；权威的；牧师的 n. 牧师礼服,,,,,,☆,☆,,
canopy,n.  天篷； 罩盖， 遮篷； 天蓬似的树阴,,,,,,☆,,☆,
canorous,a. 音调优美的，响亮的,,,,,,☆,,,
cant,n. 斜面；伪善之言；黑话；角落 v. 倾斜；讲黑话 adj. 行话的；哀诉声的；假仁假义的,,,,,,☆,☆,,
cantankerous,adj. 脾气坏的；爱吵架的；难相处的,,,,,,☆,☆,,
cantata,n. 大合唱；（意）清唱剧；康塔塔（一种声乐套曲）,,,,,,☆,☆,,
canteen,n. 食堂，小卖部；水壶,,☆,☆,,☆,,,,
canto,n. 篇；曲调；长诗的篇章,,,,,,☆,☆,,
cantonment,n.  宿营地，  军营， 兵营,,,,,,,☆,,
canvas,n. 帆布 v. 用帆布覆盖，用帆布装备 adj. 帆布制的,,,☆,☆,☆,☆,,☆,
canvass,v.  游说， 拉选票； 细查,,,,,,☆,,☆,
cany,"adj. 藤的,状似手杖的",,,,,,,,☆,
canyon,"n. <美>峡谷, 溪谷",,,,,,☆,,☆,
cap,v.  覆盖； 笼罩 n. 帽子，便帽；盖，罩，套,☆,☆,☆,,☆,,,☆,
capability,n.  能力； 性能； 容量； 潜质,,,,☆,,,,☆,
capable,"adj. 有本领的,有能力的;(of)可以…的,能…的",,,☆,☆,☆,,,☆,
capacious,adj.  容积大的； 宽敞的； 广阔的,,,,,,☆,☆,,
capacitance,n. 电容，电容量,,,,☆,,,,,
capacitor,n. [电] 电容器,,,,☆,,,☆,,
capacity,n. 容量； 能力； 能量； 才能； 身份， 地位,,,☆,☆,☆,,,☆,
cape,n.  海角， 岬； 斗篷， 披肩,,,,☆,☆,☆,,☆,
caper,v&n. 雀跃，欢蹦,,,,,,☆,,,
capillary,adj.  毛状的； 毛细血管的 n. 毛细血管,,,,,,☆,☆,☆,
capital,adj.  首要的， 重要的； 死罪的； 大写的 n. 资本，资金；首都，首府；大写字母,☆,☆,☆,☆,☆,,,☆,
capitalism,n. 资本主义,,,,,☆,,,☆,
capitalist,adj. 资本主义的 n资本家,,,,,,,,☆,
capitalize,v. 资本化，获利，利用,,,,,,☆,,,
capitation,n. 人头税,,,,,,☆,,,
capitulate,v. 认输，屈服；屈从，停止反抗；有条件投降；让步,,,,,,☆,☆,,
caprice,n.  反复无常； 任性； 怪念头,,,,,,☆,☆,,
capricious,adj.  任性的； 反复无常的,,,,,,☆,☆,,
capsize,v. (特指船)倾覆,,,,,,☆,,☆,
capsule,n. 胶囊；[植] 蒴果；太空舱；小容器 adj. 压缩的；概要的 v. 压缩；简述,,☆,,☆,☆,☆,,,
captain,n. 队长，首领；船长；上尉；海军上校 v. 指挥；率领,☆,☆,☆,,☆,,,☆,
caption,n. 标题；字幕；说明；逮捕 v. 加上说明；加上标题,,☆,,☆,,☆,☆,☆,
captious,adj.  吹毛求疵的； 挑剔的,,,,,,☆,☆,,
captivate,v.  迷住； 迷惑,,,,,,☆,☆,☆,
captive,adj. 被监禁的，被困住的；受控制的 n.  俘虏， 战俘,,,☆,☆,☆,,,☆,
captivity,n.  囚禁， 拘留,,,,,,,,☆,
capture,"v. 俘获；夺得；捕捉，拍摄,录制 n. 捕获；战利品，俘虏",,,☆,☆,☆,☆,,☆,
caput,"n. 头, 首",,,,,,,,☆,
car,n. 汽车，车辆，车；(火车)车厢,☆,☆,☆,,☆,,,☆,
carafe,n.玻璃瓶,,,,,,☆,,,
carapace,n.(蟹或龟等的)甲壳,,,,,,☆,,,
carat,n. 克拉；(金子)开,,,,,,☆,,,
caravan,"n. 旅行队,商队, 大篷车",,,,,,,,☆,
carbohydrate,n. [有化] 碳水化合物；[有化] 糖类,,,,,☆,☆,☆,☆,
carbon,n. [化学] 碳；碳棒；复写纸 adj. 碳的；碳处理的,,☆,☆,,☆,,,☆,
carbon dioxide,n. 二氧化碳,,,,,,,☆,,
carbon monoxide,n. 一氧化碳,,,,,,,☆,,
carbonate,n. 碳酸盐,,,,,,,,☆,
carbonic,adj. (含)碳的,,,,,,,,☆,
carboniferous,n. 石炭层,,,,,,,,☆,
carbonization,n. 碳化(物),,,,,,,,☆,
carcass,n. （人或动物的）尸体；残骸；（除脏去头备食用的）畜体,,,,,,,☆,☆,
carcinogen,n.致癌物,,,,,,☆,,,
card,n. 卡片；纸牌；明信片 v. 记于卡片上,☆,☆,☆,,☆,,,☆,
cardboard,n. 纸板,,,,,,,,☆,
cardiac,n. 强心剂；强胃剂 adj. 心脏的；心脏病的；贲门的,,,,,,,☆,☆,
cardinal,n. 红衣主教；枢机主教；鲜红色；【鸟类】(北美)主红雀 adj. 主要的，基本的；深红色的,,,,☆,☆,☆,☆,☆,
cardiologist,n.心脏病专家,,,,,,☆,,,
care,v. 关心，关怀；担心；介意 n.  照顾， 护理； 小心， 注意； 忧虑； 挂念,☆,☆,☆,,☆,,,☆,
careen,v. (船)倾斜；使倾斜,,,,,,☆,,,
career,n. 生涯；职业；事业；速度，全速 adj. 作为毕生职业的 v. 全速前进，猛冲,,,☆,,☆,,,☆,
careful,"adj. 小心的,仔细的;细致的,精心的",☆,☆,☆,,☆,,,☆,
caregiver,n. 照料者,,,☆,,,,,,
careless,adj. 粗心的；无忧无虑的；淡漠的 n. (Careless)人名；(英)凯尔利斯,☆,☆,☆,,,,,☆,
carelessly,adv. 粗心地；疏忽地,,,,,,,,☆,
caress,v. 爱抚，抚抱 n. 爱抚，拥抱；接吻,,,,,☆,☆,,,
careworn,a.受忧虑折磨的，饱经风霜的,,,,,,☆,,,
cargo,n.(船、飞机等装载的)货物,,,☆,,☆,☆,,☆,
caribou,n. 北美产驯鹿(=Rangifer),,,,,,,,☆,
caricature,n. 讽刺画，漫画；讽刺描述法；歪曲的模仿 vt.  画成漫画讽刺,,,,,,☆,☆,,
carillon,n. 编钟，钟琴,,,,,,☆,,,
carman,"n. 车夫,司机",,,,,,,,☆,
carnage,n.   残杀， 大屠杀； 流血,,,,,,☆,☆,,
carnal,adj. 肉体的；肉欲的；淫荡的；性欲的 n. (Carnal)人名；(西)卡纳尔,,,,,,,☆,,
carnation,"n. 荷兰石竹, 康乃馨, 粉红色",,,,,,,,☆,
carnival,"n. 狂欢节, 饮宴狂欢",,,,,,,,☆,
carnivore,n. [动] 食肉动物；食虫植物,,,,,,,☆,☆,
carnivorous,"adj. 食肉的, 肉食性的",,,,,,☆,☆,☆,
carol,n.赞美诗，颂歌；v.欢唱,,,,,,☆,,☆,
carouse,v. 畅饮；欢宴 n. 喧闹的酒会或宴会；一饮而尽,,,,,,☆,☆,,
carp,n.鲤鱼；v.吹毛求疵,,,,,,☆,,,
carpenter,n. 木匠，木工 v. 当木匠，做木匠工作,,☆,☆,☆,☆,☆,,☆,
carpentry,n. 木工工作,,,,☆,,☆,,,
carpet,v. 在…上铺地毯，把地毯铺在…上；斥责 n. 地毯；地毯状覆盖物,,☆,☆,,☆,,,☆,
carriage,n. 运输；运费；四轮马车；举止；客车厢,,☆,☆,,☆,,,☆,
carrier,n. 运输工具， 运载工具； 带菌者； 载重架， 置物架,,☆,☆,,☆,,,☆,
carrion,adj. 腐肉的；腐朽的 n. 腐肉；臭尸；不洁之物,,,,,,☆,☆,,
carrot,n.  胡萝卜,☆,☆,☆,,☆,,,☆,
