word,mean,check
curtain,"n. 窗帘,门帘；幕(布) v. 用帘子隔开",
cushion,n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄 v. 给…安上垫子；把…安置在垫子上；缓和…的冲击,
custom,n. 习惯，惯例；风俗；海关，关税；经常光顾；[总称]（经常性的）顾客 adj. （衣服等）定做的，定制的,
customer,n.   顾客， 主顾,
customs,n. 海关；风俗（custom的复数）；习惯；关税,
cut,n. 伤口；切口；削减；（服装等的）式样；削球；切入 v. [机] 切割；削减；缩短；刺痛 adj. 割下的；雕过的；缩减的,
cute,adj. 漂亮的， 娇小可爱的； 聪明伶俐的， 精明的,
cycle,n. 循环；周期；自行车；整套；一段时间 v. 使循环；使轮转,
cyclist,n. 骑自行车的人,
dad,n. 爸爸；爹爹,
daily,adj. 日常的；每日的 n. 日报；朝来夜去的女佣 adv. 日常地；每日；天天,
dam,v. 控制；筑坝 n. [水利] 水坝；障碍,
damage,n. 损害；损毁；赔偿金 v. 损害；损毁,
damp,adj. 潮湿的，微湿的 n. 潮湿，湿气 vt. 使潮湿； 使沮丧； 抑制,
dance,n. 舞蹈；舞会；舞曲 v. 跳舞；跳跃；飘扬 adj. 舞蹈的；用于跳舞的,
danger,n.  危险； 危险事物； 威胁,
dangerous,adj.  危险的， 不安全的,
dare,n. 挑战；挑动 v. 敢冒；不惧,
dark,adj. 黑暗的，深色的；模糊的；无知的；忧郁的 n. 黑暗；夜；黄昏；模糊,
darkness,n. 黑暗；模糊；无知；阴郁,
dash,vi. 猛冲，击碎 vt. 使猛撞，飞奔；溅 n. 猛冲； 破折号,
data,n. 数据（datum的复数）；资料,
database,n.  资料库， 数据库,
date,n. 日期；约会；年代；枣椰子 v. 过时；注明日期；始于（某一历史时期）,
daughter,n. 女儿；[遗][农学] 子代 adj. 女儿的；子代的,
dawn,n. 黎明；开端 v. 破晓；出现；被领悟,
day,n. 一天；时期；白昼 adv. 每天；经常在白天地 adj. 日间的；逐日的,
daylight,n. 白天；日光；黎明；公开,
dead,adv.  完全地； 绝对地 adj. 死的；无感觉的；呆板的 n. 死者,
deadline,n.  最后期限， 截止时间,
deaf,adj.  聋的； 不愿听的， 装聋的,
deal,v.  处理， 对付； 给予； 做买卖， 经营 n. 交易，买卖；协议,
dear,adj. 亲爱的；尊敬的；昂贵的 adv. 高价地；疼爱地 int. 哎呀 n. 亲爱的人,
death,n. 死；死亡；死神；毁灭,
debate,v. 辩论，争论，讨论 n. 辩论；辩论会,
debt,n.  债务； 负债情况； 罪过,
decade,n.  十年， 十年期,
decide,v.  决定， 对…作出抉择； 使下决心,
decision,n. 决定，抉择；决定；判决，裁决,
declare,v. 宣布， 宣称；断言；公布， 发表， 披露,
decline,vi. 下倾， 下降， 下垂； 衰落 vt. 拒绝， 谢绝 n. 倾斜； 下降； 衰落，衰退；斜面， 倾斜,☆
decorate,vt. 装饰， 装潢， 修饰,
decoration,n. 装饰，装潢；装饰品；奖章,
decrease,v. （使）变小，（使）减少 n. 减少；减少的量,
deed,n. 行动；功绩；证书；[法] 契据 vt. 立契转让,
deep,n. 深处；深渊 adj. 深的；低沉的；深奥的 adv. 深入地；深深地；迟,
deeply,adv. 深刻地；浓浓地；在深处,
deer,n. 鹿,
defeat,v. 击败，战胜；挫败；使…失败 n. 失败的事实；击败的行为,
defence,n. 防御；防卫；答辩；防卫设备,
defend,vt.  保护， 防御,
defense,n. 防卫，防护；防御措施；防守 vt. 谋划抵御,
degree,n.  度， 度数； 程度； 学位； 地位， 身份,
delay,v. 延期；耽搁 n. 延期；耽搁；被耽搁或推迟的时间,
delete,vt. 删除， 擦掉,
deliberately,adv. 故意地；谨慎地；慎重地,
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的,
delicious,adj. 美味的； 芬芳的， 怡人的； 有趣的,
delight,v. 愉快，高兴 n.  快乐， 高兴； 令人高兴的事， 乐趣,
delighted,adj. 高兴的；欣喜的 v. 使…兴高采烈；感到快乐（delight的过去分词）,
deliver,v.  传送， 传递； 发表， 宣布； 履行诺言； 移交， 交出； 接生,
demand,v. 要求， 请求， 需要； 查问 n. 要求， 请求， 需要,
dentist,n.  牙科医生,
department,"n. 部,局,处,科,部门;系,学部",
departure,n. 离开， 起程， 出发； 背离， 违背,
depend,v.  依靠， 依赖； 信赖， 相信； 取决于， 视…而定,
deposit,vt. 沉淀； 付；存放； 储蓄 n. 存款； 保证金；沉积物,
depth,n. [海洋] 深度；深奥,
describe,v.  描写， 描述； 说明,
description,n. 描述，描写；类型；说明书,
desert,v. 遗弃；放弃；逃跑 n. 沙漠；荒原；应得的赏罚 adj. 沙漠的；荒凉的；不毛的,
deserve,vt.  应受， 值得,
design,v.  设计； 预订， 指定； 谋划， 构思 n. 设计，构想；图样，图案；企图，图谋,
desire,n. 欲望；要求，心愿；性欲 v. 想要；要求；希望得到…,
desk,n.  书桌， 办公桌,
desperate,adj.  绝望的； 不顾死活的， 拼命的； 极度渴望的,
dessert,n. 正餐后的水果或甜食,
destination,n. 目的地， 终点； 目标,
destroy,"v. 破坏,毁灭,消灭",
detective,adj.  侦探的 n. 侦探，私人侦探,
determination,n. 决心， 决定； 确定,
determine,v.  查明， 确定； 决心， 决定； 支配， 影响,
develop,v.  发展； 开发； 研制； 成长； 患； 详尽阐述， 发挥； 使显影,
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）；[摄] 显影,
devote,vt.  奉献； 致力； 专心,
devotion,n. 献身， 奉献； 忠实； 热爱； 虔诚,
diagram,n. 图表；图解 v. 用图解法表示,
dial,v. 拨号， 打电话 n. 钟面， 刻度盘， 拨号盘,
dialogue,n. 对话；意见交换 vi. 对话 vt. 用对话表达,
diamond,n. 钻石，金刚石；菱形；方块牌 adj. 菱形的；金刚钻的,
diary,n. 日志，日记；日记簿,
dictation,n. 听写， 口述； 命令,
dictionary,n.  词典， 字典,
die,v.  [dying]　死， 死亡； 消失； 停止运行； 渴望； 消,
diet,v.  进特种饮食， 节食 n. 日常饮食；特种饮食，规定饮食,
differ,v. 使…相异；使…不同 n. (Differ)人名；(法)迪费,
difference,n.  差别， 差异； 差， 差额； 分歧,
different,adj. 不同的；个别的，与众不同的,
difficult,adj.  困难的； 难懂的； 难以取悦的,
difficulty,n.  困难， 费力； 异议,
dig,v. 挖（土等），掘（洞） n. 挖苦，嘲讽,
digest,vi. 消化 vt. 吸收， 领悟 n. 摘要， 文摘,
digital,adj. 数字的；手指的 n. 数字；键,☆
dignity,n.  尊严， 庄严； 高贵， 尊贵； 自尊， 自重,
dilemma,"n. 进退两难的局面, 困难的选择",
dimension,n. 方面;[数] 维；尺寸；次元；容积 vt标出尺寸 adj. 规格的,
dine,v. 进餐，用餐 n. (Dine)人名；(意、葡)迪内；(英)戴恩；(法)迪纳,
dinner,n. 晚餐，晚宴；宴会；正餐,
dinosaur,n. 恐龙；过时、落伍的人或事物,
dioxide,n.  二氧化物,
dip,v. 浸，泡，蘸；舀取；把伸入 n. 下沉，下降；倾斜；浸渍，蘸湿,
diploma,n. 毕业证书，学位证书；公文，文书；奖状 vt. 发给…毕业文凭,
direct,adj. 直接的；直系的；亲身的；恰好的 v. 管理；指挥；导演；指向 adv. 直接地；正好；按直系关系,
direction,n.  方向； 说明； 说明书； 指导,
director,n. 主任，主管；导演；人事助理,
directory,n. [计] 目录；工商名录；姓名地址录 adj. 指导的；咨询的,
dirt,n. 污垢，泥土；灰尘，尘土；下流话,
dirty,adj.  肮脏的； 下流的， 黄色的； 卑鄙的， 不道德的； 暴风雨的， 恶劣的,
disability,n. 残疾；无能；无资格；不利条件,
disabled,adj. 残废的，有缺陷的 v. 使…失去能力（disable的过去分词）,
disadvantage,n.  不便， 不利， 不利的情况；  损害， 损失,
disagree,v. 不同意；不一致；争执；不适宜,
disagreement,n. 不一致；争论；意见不同,
disappear,vi. 不见， 失踪， 消失,
disappoint,v. 使失望，使受挫折,
disappointed,adj.  失望的,
disappointing,adj.  令人失望的， 令人扫兴的,
disappointment,n. 失望；沮丧,
disaster,n. 灾难， 灾祸， 天灾； 彻底的失败,
discount,n.  折扣 vt.  把…打折扣； 不全信， 漠视， 低估,
discourage,vt.  使泄气， 使灰心； 阻止， 劝阻,
discover,vt.  发现， 找到,
discovery,n.  发现， 发觉； 被发现的事物,
discrimination,n. 区别， 辨别； 识别力； 差别对待， 歧视,
discuss,v.  谈论， 讨论， 论述,
discussion,n. 讨论，谈论；论述,
disease,n. 病，[医] 疾病；弊病 vt. 传染；使…有病,
disgusting,adj.  令人讨厌的,
dish,n. 盘；餐具；一盘食物；外貌有吸引力的人 v. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话,
disk,n. [计] 磁盘，磁碟片；圆盘，盘状物；唱片,
dislike,v. 不喜欢，厌恶 n. 嫌恶，反感，不喜爱,
dismiss,v.  不再考虑， 不接受； 消除， 摒除； 免职， 解雇； 解散， 遣散； 驳回， 不受理,
disobey,v. 违反；不服从,
display,n. 显示；炫耀 v. 显示；表现；陈列 adj. 展览的；陈列用的,
distance,n.  距离， 间距； 遥远， 远方； 冷淡， 疏远； 久远,
distant,adj.  远离的， 遥远的； 疏远的， 冷淡的； 久远的； 不同的,
distinction,n. 区别；差别；特性；荣誉、勋章,
distinguish,v.  区别， 辨别； 使有别于， 成为…的特征； 看清， 听出； 使杰出， 使著名,
distribute,v. 分配； 分布； 配 <；散布,
district,n.地区，行政区，（美国各州的）众议院选区,
disturb,vt.  打扰； 搅乱， 弄乱； 使烦恼， 使不安,
disturbing,adj. 令人不安的；烦扰的 v. 干扰；打断（disturb的ing形式）,
dive,v. 潜水；跳水；俯冲；急剧下降 n. 潜水；跳水；俯冲；扑,
diverse,adj.  多种多样的， 不同的， 变化多的,
divide,v. 分，分隔；分配，分享；除；使产生分歧 n.  分歧； 分开； 分界线， 分水岭,
division,n.  除， 除法； 分开， 分隔； 分配； 部分； 分歧， 分裂； 部门,
divorce,v.  与…离婚； 使分离， 使脱离 n. 离婚；分离，脱离,
dizzy,adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的 v. 使头晕眼花；使混乱；使茫然 n. (Dizzy)人名；(英)迪齐,
do,v.  [did-done] 做， 从事； 实行， 进行； 尽力； 可用； 制作； 算出， 解答,
doctor,v. 修理；篡改，伪造；为…治病；授以博士学位 n. 医生；博士,
document,n. 文件，公文；[计] 文档；证件 v. 用文件证明,
documentary,adj. 文件的，文献的；记录的，纪实的 n.  纪录片,
dog,n. 狗；丑女人；卑鄙的人；(俚)朋友 v. 跟踪；尾随,
doll,n. 洋娃娃；玩偶；无头脑的美丽女人 v. 把…打扮得花枝招展,
dollar,n. 元〔美国、加拿大、澳大利亚等国的货币单位〕,
donate,v. 捐赠；捐献 n. 捐赠；捐献,
door,n.  门， 出入口； 家， 户,
dormitory,n. 宿舍，学生宿舍 adj. 住宅区的,
dot,v. 星罗棋布于；打点于；点缀 n.  点， 圆点； 小数点,
double,n. 两倍；双精度型 adj. 双重的；两倍的 v. 加倍，加倍努力；快步走 adv. 双重地；两倍地；弓身地,
doubt,n. 怀疑；疑问；疑惑 v. 怀疑；不信；恐怕；拿不准,
down,adv. 向下，下去；在下面 adj. 向下的 n. 软毛，绒毛；[地质] 开阔的高地 prep. 沿着，往下 v. 打倒，击败,
download,n&vt.  下载,
downstairs,adv. 在楼下 adj. 楼下的 n. 楼下,
downtown,adv. 往闹市区；在市区 adj. 市中心的 n. 市中心区；三分线以外,
downward,adv. 向下，往下 adj.  向下的,
dozen,n. 十二个，一打 adj. 一打的,
draft,n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流 v. 起草；制定；征募 adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的,
drag,v. 拖动；缓慢而费力地移动；拖沓地进行，拖延 n.  累赘， 障碍； 一吸， 一抽， 一饮,
draw,v. 吸引，招引；画，描绘；拖，拉；引起，激起；拨出，抽出；提取，支取；推断出；打成平局 n.  平局， 和局； 抽签,
drawback,n.  缺点， 障碍， 不利条件； 退款， 退税,
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍,
drawing,n. 图画；牵引；素描术 v. 绘画；吸引（draw的ing形式）；拖曳,
dream,v. 梦想；做梦，梦见；想到 n. 梦想，愿望；梦 adj. 梦的；理想的；不切实际的,
dress,v. 穿衣，打扮 n.  女服， 连衣裙； 服装,
drier,n. 干燥机；干燥剂；吹风机,
drill,n. 训练；钻孔机；钻子；播种机 v. 钻孔；训练,
drink,v. 喝，饮；吸收；举杯庆贺 n. 酒，饮料；喝酒,
drive,v. 开车；猛击；飞跑 n. 驱动器；驾车；[心理] 内驱力，推进力；快车道,
driver,n. 驾驶员；驱动程序；起子；传动器,
drop,v. 滴；使降低；使终止；随口漏出 n. 滴；落下；空投；微量；滴剂,
drown,v. 淹没；把…淹死 n. (Drown)人名；(英)德朗,
drug,n. 药；毒品；麻醉药；滞销货 v. 使服麻醉药；使服毒品；掺麻醉药于,
drum,v. 有节奏地敲击 n. 鼓，鼓状物；圆桶,
drunk,v. 喝酒（drink的过去分词） adj. 喝醉了的,
dry,adj. 干的；口渴的；枯燥无味的；禁酒的 v. 把…弄干 n. 干涸,
duck,n. 鸭子；鸭肉；（英）宝贝儿；零分 v. 闪避；没入水中,
due,adj. 到期的；预期的；应付的；应得的 n. 应付款；应得之物 adv. 正（置于方位词前）,
dull,adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的 v. 使迟钝；使阴暗；缓和 n. (Dull)人名；(罗、匈)杜尔；(柬)杜；(英)达尔,
dumpling,n. 饺子，汤团；面团布丁,
during,prep. 在…的时候，在…的期间 n. (During)人名；(法)迪兰；(瑞典、利比)杜林,
dusk,n. 黄昏，薄暮；幽暗，昏暗 adj. 微暗的 v. 使变微暗,
dust,"n. 尘土,粉末 v. 除尘,撒(粉末等)",
dustbin,n. 垃圾箱；吃货,
dusty,adj.  尘土般的； 尘土多的,
duty,n.  责任， 义务； 职责， 职务； 税， 关税,
dynamic,adj. 动态的；动力的；动力学的；有活力的 n. 动态；动力,
dynasty,n.  朝代， 王朝,
e-mail,n. 电子邮件 vt.  给…发电子邮件,
each,adj. 每；各自的 adv. 每个；各自 pron. 每个；各自,
eager,adj. 渴望的；热切的；热心的 n. (Eager)人名；(英)伊格,
eagle,n. 鹰；鹰状标饰,
ear,n. 耳朵；穗；听觉；倾听 vi. （美俚）听见；抽穗,
early,adj. 早期的；早熟的 adv. 提早；在初期 n. (Early)人名；(英)厄尔利,
earn,v. 赚，赚得；获得，挣得；使得到；博得 n. (Earn)人名；(泰)炎,
earth,n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴 v. 把（电线）[电] 接地；盖（土）；追赶入洞穴,
earthquake,"n. 地震, [喻]在震荡, 在变动",
ease,vt. 减轻， 缓和；使舒适， 使安心 n. 容易， 轻松；舒适， 悠闲,
easily,adv.  容易地， 不费力地,
east,n. 东方；东风；东方国家 adj. 东方的；向东的；从东方来的 adv. 向东方，在东方,
eastern,adj. 东方的；朝东的；东洋的 n. 东方人；（美国）东部地区的人,
eastward,adj. 向东的 adv. 向东,
eastwards,adv. 向东方地 adj. 向东方的,
easy,adj. 容易的；舒适的 adv. 不费力地，从容地 vi. 停止划桨 vt. 发出停划命令,
eat,v.  [ate-eaten] 吃， 吃饭,
ecology,n.  生态； 生态学； 生态环境,
edge,v.  徐徐移动； 略为增加； 给…加边 n. 边，边缘；刀口，刃；优势,
edition,n. 版， 版本， 版次,
editor,n. 编者，编辑；社论撰写人；编辑装置,
educate,vt. 教育， 培养， 训练,
education,n. 教育；培养；教育学,
educator,n. 教育家；教育工作者；教师,
effect,n. 影响；效果；作用 v. 产生；达到目的,
effort,n.  努力， 尝试； 努力的成果， 成就,
egg,n. 蛋；卵子；家伙；鸡蛋 v. 煽动；怂恿,
eggplant,n. 茄子 adj. 深紫色的,
eight,num. 八；八个；第八 adj. 八的 n. 八字形,
eighteen,n. 十八，十八个 adj. 十八个的，十八的 num. 十八,
eighteenth,"num. 第十八,十八分之一",
eighth,adj. 第八的；八分之一的 num. 第八；八分之一,
eighty,n. 八十；八十岁；八十年代 adj. 八十的，八十个的；八十岁的 num. 八十,
either,adj. 两者之中任一的；两者之中每一的 prep. 任何一个 conj. 也（用于否定句或否定词组后）；根本 pron. 任一，两方，随便哪一个；两者中的一个或另一个,
elbow,n. 肘部；弯头；扶手 v. 推挤；用手肘推开,
elder,n. 老人；长辈；年长者；父辈 adj. 年长的；年龄较大的；资格老的,
elect,adj. 选出的；当选的；卓越的 n. 被选的人；特殊阶层；上帝的选民 v. 选举；选择；推选,
electric,adj. 电的；电动的；发电的；导电的；令人震惊的 n. 电；电气车辆；带电体,
electrical,adj.  与电有关的， 电气的,
electricity,n. 电力；电流；强烈的紧张情绪,
electronic,adj. 电子的 n. 电子电路；电子器件,
elegant,adj.  优美的， 高雅的； 雅致的， 精美的； 简练的， 简洁的,
elementary,adj.  初级的， 基础的； 基本的； 简单的,
elephant,n. 象；大号图画纸,
elevator,n. 电梯；升降机；升降舵；起卸机,
eleven,n. 十一；十一个 adj. 十一的；十一个的 num. 十一；十一个,
eleventh,adj. 第十一（个）,
else,adv. 其他；否则；另外 adj. 别的；其他的 n. (Else)人名；(英)埃尔斯；(德)埃尔泽；(芬、丹)埃尔塞,
embarrass,vt.  使尴尬， 使困窘； 使困惑,
embarrassed,adj.  尴尬的， 为难的； 陷入困境的， 窘迫的,
embassy,n. 大使馆； 大使馆全体成员,
emergency,n. 紧急情况；突发事件；非常时刻 adj. 紧急的；备用的,
emotion,n.  感情， 激情， 情绪,
emperor,"n. 皇帝, 君主",
empire,n. 帝国；帝王统治，君权,
employ,v. 使用，采用；雇用；使忙于，使从事于 n. 使用；雇用,
empty,adj. 空的；无意义的；无知的；徒劳的 v. 使失去；使…成为空的 n. 空车；空的东西,
encourage,vt. 鼓励， 怂恿； 促进， 助长， 激发,
encouragement,n.  鼓励， 支持， 促进； 起激励作用的事物,
end,v.  结束， 终止 n. 最后部分，末尾；死亡；终止，结局；结果，目标,
ending,n. 结尾， 结局； 死亡,
endless,adj. 无止境的；连续的；环状的；漫无目的的,
enemy,n. 敌人，仇敌；敌军 adj. 敌人的，敌方的,
energetic,adj. 精力充沛的；积极的；有力的,
energy,n. [物] 能量；精力；活力；精神,
engine,n. 引擎，发动机；机车，火车头；工具,
engineer,n. 工程师；工兵；火车司机 v. 设计；策划；精明地处理,
enjoy,v.  欣赏， 享受…之乐趣； 喜欢,
enjoyable,adj. 快乐的；有乐趣的；令人愉快的,
enlarge,vt. 扩大， 扩展， 放大,
enough,adv. 足够地，充足地 n. 很多；充足 adj. 充足的 int. 够了！,
enquiry,n. [计] 询问，[贸易] 询盘,
enter,v. 进入；开始；参加 n. [计] 输入；回车,
enterprise,n.   工作； 事业， 企业； 事业心， 进取心， 冒险精神,
entertainment,n. 娱乐， 文娱节目， 表演会； 招待， 款待， 请客,
enthusiastic,adj. 满腔热情的， 热心的， 极感兴趣的,
entire,adj. 全部的，整个的；全体的 n. (Entire)人名；(英)恩泰尔,
entrance,n. 入口；进入 v. 使出神，使入迷,
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占,
envelope,n. 信封，封皮；包膜；[天] 包层；包迹,
environment,n. 环境； 外界； 围绕,
envy,n. 妒忌，羡慕；妒忌的对象 vt. 妒忌， 羡慕,
equal,adj. 平等的；相等的；胜任的 v. 等于；比得上 n. 对手；匹敌；同辈；相等的事物,
equality,n. 同等;平等;相等;等式;等同性,
equip,"v. (with)装备,配备；训练",
equipment,n. 设备，装备；器材,
eraser,n. 橡皮；擦除器；[计] 清除器,
error,n. 错误， 过失； 误差,
erupt,v.爆发；喷出(熔岩、水、气体、泥浆等),
escalator,n.  〈美〉自动扶梯,
escape,v. 逃避，避开，避免；被忘掉；被忽视 n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏,
especially,adv. 尤其；特别，格外；专门地，主要地,
essay,n. 散文；试图；随笔 v. 尝试；对…做试验,
establish,vt.  建立， 设立； 安置， 使定居； 确定， 证实,
etiquette,n.  礼节， 礼仪,
evaluate,vt. 估价， 评价； 求…的值,
even,adj. [数] 偶数的；平坦的；相等的 adv. 甚至；即使；还；实际上 v. 使平坦；使相等 n. (Even)人名；(法)埃旺；(德)埃文；(英)埃文,
evening,n. 晚上；傍晚；（联欢性的）晚会；后期 adj. 在晚上的；为晚上的；晚上用的 int. 晚上好（等于good evening）,
event,n. (尤指特殊、重大) 事件,
eventually,"adv. 最后,终于",
ever,adv. 永远；曾经；究竟 n. (Ever)人名；(英)埃弗；(俄)叶韦尔；(西、法)埃韦尔,
every,adj. 每一的，每个的；每隔…的 n. (Every)人名；(英)埃夫里,
everybody,pron.  每人， 人人， 各人,
everyday,adj. 每天的，日常的 n. 平时；寻常日子,
everyone,pron. 每个人；人人 n. 每个人,
everything,pron. 每件事物；最重要的东西；（有关的）一切；万事,
everywhere,adv.  到处， 各处， 无论何处,
evidence,n.  证据， 根据， 论据； 迹象， 痕迹， 征兆,
evident,adj.  明显的， 显然的,
evolution,n.  发展； 演变， 进化， 进化论,
exact,adj. 准确的，精密的；精确的 v. 要求；强求；急需,
exactly,adv. 恰好地；正是；精确地；正确地,
exam,n.  考试； 试题； 检查， 调查,
examine,v.  检查； 调查； 考试， 测验,
example,n. 例子；榜样 vt. 作为…的例子；为…做出榜样 vi. 举例,
excellent,adj.  优秀的， 卓越的， 杰出的,
except,v. 不计；把…除外 prep. 除…之外 conj. 除了；要不是,
exchange,vt. 交换， 互换； 调换， 更换 n. 交换， 调换； 兑换；交流， 交易；交换台， 交易所,
excite,v.  使兴奋； 使激动； 引起， 激起,
excuse,v.  原谅， 宽恕； 使免除； 为…辩解， 作为开脱…的理由,
exercise,n. 运动；练习；运用；操练；礼拜；典礼 v. 锻炼；练习；使用；使忙碌；使惊恐,
exhibition,n. 展览，显示；展览会；展览品,
exist,v. 存在；生存；生活；继续存在,
existence,n. 存在，实在；生存，生活；存在物，实在物,
exit,n. 出口，通道；退场 v. 退出；离去,
expand,"v. (使)膨胀,(使)扩张；使…发展; 发展",
expect,v.  期待， 预期， 盼望， 指望,
expectation,n. 期待， 期望， 预期； 前程， 成功的前景,
expense,n. 损失，代价；消费；开支 vt. 向…收取费用 vi. 被花掉,
expensive,adj.  昂贵的， 高消费的,
experience,v.  经历， 体验， 感受 n. 经历，阅历；经验，体验,
experiment,v. 尝试；进行实验 n. 实验，试验；尝试,
expert,adj. 熟练的；内行的；老练的 n. 专家；行家；能手 vt. 当专家；在…中当行家,
explain,vt.  解释， 说明,
explanation,n. 说明，解释；辩解,
explicit,adj.  清晰的， 明确的， 清楚的； 直率的， 不含糊的,
explode,vi. 爆炸； 激增； 发怒 vt. 使爆炸,
exploit,vt.  开发； 利用； 剥削 n.  英勇行为， 业绩， 功绩,
explore,vt. 探险， 探索； 仔细查阅， 探究,
explorer,n. 探险家；勘探者；探测器；[医]探针,
export,vt. 输出， 出口 n. 输出， 出口； 输出品， 出口额,
expose,vt.  暴露， 显露； 揭露， 揭穿； 使接触， 使面临,
express,adv.  用快递方式； v. 表示，表达 adj. 特快的，直达的；明确的，明白表示的,
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法,
extension,n. 延长部分， 伸展； 电话分机， 分机号码,
extra,adv. 特别地，非常；另外 n. 临时演员；号外；额外的事物；上等产品 adj. 额外的，另外收费的；特大的,
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的,
extreme,adj. 极端的；极度的；偏激的；尽头的 n. 极端；末端；最大程度；极端的事物,
extremely,adv. 非常，极其；极端地,
eye,n. 眼睛；视力；眼光；见解，观点 v. 注视，看,
eyesight,n.  视力， 视觉,
eyewitness,"n. 目击者, 见证人",
face,n. 脸；面容；表情；面子；正面 vt.  面向； 面对， 朝； 正视； 面临,
facial,adj. 面部的，表面的；脸的，面部用的 n. 美容，美颜；脸部按摩,
fact,n. 事实；实际；真相,
factory,n. 工厂；制造厂；代理店,
fade,v. 褪色；凋谢；逐渐消失 adj. 平淡的；乏味的 n. [电影][电视] 淡出；[电影][电视] 淡入,
fail,v. 失败，不及格；破产；缺乏；衰退 n. 不及格,
failure,n. 失败； 不及格 <；失败者 A；故障， 失灵；未能,
fair,adj. 公平的；美丽的，白皙的；[气象] 晴朗的 adv. 公平地；直接地；清楚地 v. 转晴 n. 展览会；市集；美人,
fairly,adv. 相当地；公平地；简直 n. (Fairly)人名；(英)费尔利,
fairness,n. 公平；美好；清晰；顺利性,
faith,n. 信任； 信心； 信仰， 信条； 忠诚,
fall,v.  [fell-fallen] 落下， 降落； 跌倒， 塌倒； 降临， 来临； 失势， 垮台； 下垂， 倾,
familiar,adj. 熟悉的；常见的；亲近的 n. 常客；密友,
family,n. 家庭；亲属；家族；子女；[生]科；语族；[化]族 adj. 家庭的；家族的；适合于全家的,
famous,adj. 著名的；极好的，非常令人满意的,
fan,v.  煽动， 激起 n. 扇子；扇形物；狂热爱好者，迷,
fancy,adj. 花式的； 奇特的； 异样的 n. 爱好， 喜爱， 迷恋；想象， 设想 vt. 想象， 幻想,
fantastic,adj. 极好的， 极出色的； 了不起的； 极大的； 难以相信的； 异想天开的， 不实际的； 奇异的， 古怪的,
fantasy,n. 幻想；白日梦；幻觉 adj. 虚幻的 v. 空想；想像,
far,adv. 很；遥远地；久远地；到很远的距离；到很深的程度 adj. 远的；久远的 n. 远方,
fare,v. 经营；进展；遭遇；过活 n. 票价；费用；旅客；食物,
farm,v. 种田，务农；经营农场 n. 农场；农家；畜牧场,
farmer,n. 农民，农夫；农场主,
fashion,n. 时尚；时装；样式；时髦人物 v. 使用；改变；做成…的形状,
fast,adj. 快速的，迅速的；紧的，稳固的 adv. 迅速地；紧紧地；彻底地 v. 禁食，斋戒 n. 斋戒；绝食,
fasten,v. 使固定；集中于；扎牢；强加于 n. (Fasten)人名；(英)法森,
fat,adj. 肥的，胖的；油腻的；丰满的 n. 脂肪，肥肉 v. 养肥；在…中加入脂肪,
father,n. 父亲，爸爸；神父；祖先；前辈 v. 发明，创立；当…的父亲,
fault,n. 故障；[地质] 断层；错误；缺点；毛病；（网球等）发球失误 v. 弄错；产生断层,
favorite,adj. 特别喜欢的， 中意的 n. 最喜欢的人或物,
favour,n. 好感；赞同；恩惠 vt. 赞同； 喜爱， 偏爱； 有利于,
favourite,adj. 特别喜欢的， 中意的 n. 最喜欢的人或物,
fax,v.  传真 n. 传真；传真电文,
fear,n. 害怕；恐惧；敬畏；担心 v. 害怕；敬畏；为…担心,
feast,vi. 尽情地吃， 宴饮； 参加宴会 n. 盛宴，筵席；节日,
feather,n. 羽毛 v. 用羽毛装饰,
feature,vi. 起重要作用 n. 特征，特色；面貌；特写，专题节目；故事片 vt. 突出；由…主演,
federal,adj. 联邦的；同盟的；联邦政府的； 联邦制的 adv. 联邦政府地 n. (Federal)人名；(英)费德勒尔,
fee,n. 费用；酬金；小费 v. 付费给……,
feed,v. 喂养；供给；放牧；抚养（家庭等）；靠…为生 n. 饲料；饲养；（动物或婴儿的）一餐,
feel,vi. 摸索，寻找 v.  觉得； 摸起来 vt. 感觉；触摸；认为,
feeling,n. 感觉，触觉；感情，情绪；同情 adj. 有感觉的；有同情心的；富于感情的 v. 感觉；认为（feel的现在分词）；触摸,
fellow,n. 家伙；朋友；同事；会员 adj. 同伴的，同事的；同道的 vt. 使…与另一个对等；使…与另一个匹敌,
female,adj. 女性的；雌性的；柔弱的，柔和的 n. 女人；[动] 雌性动物,
fence,n. 栅栏；围墙；剑术 v. 防护；用篱笆围住；练习剑术,
